"","acoustic_project_code","station_name","deploy_latitude","deploy_longitude"
"1","2004_Gudena","GUD1",56.38230254,9.897962798
"2","2004_Gudena","GUD2",56.38312088,9.901577397
"3","2004_Gudena","KATNORD",56.61897787,10.35937256
"4","2004_Gudena","KATSYD",56.59259394,10.35725253
"5","2004_Gudena","RAN1",56.45735379,10.01770257
"6","2004_Gudena","RAN2",56.45552792,10.03316608
"7","2004_Gudena","UDBY1",56.60799107,10.29949461
"8","2004_Gudena","UDBY2",56.60980547,10.30384199
"9","2004_Gudena","UGEL1",56.48324094,10.2181103
"10","2004_Gudena","UGEL2",56.47968471,10.21517113
"11","2011_Loire","2R",47.20876667,-1.52168333
"12","2011_Loire","13V",47.23221667,-1.47123333
"13","2011_Loire","17V_Vignettes",47.26625,-2.1881
"14","2011_Loire","18R",47.23335,-1.47186667
"15","2011_Loire","19V_Mindin",47.27488333,-2.17811667
"16","2011_Loire","20R_BasseNazaire",47.26900001,-2.19073333
"17","2011_Loire","23V",47.28471667,-2.16813334
"18","2011_Loire","24bisR",47.28713334,-2.17019999
"19","2011_Loire","25V",47.24575,-1.43885
"20","2011_Loire","26R",47.3028,-2.05868333
"21","2011_Loire","27V_DongesSud",47.3007,-2.06406666
"22","2011_Loire","28R",47.30118333,-2.04425
"23","2011_Loire","29bisV",47.29875,-2.04523333
"24","2011_Loire","30R",47.29393334,-2.01663334
"25","2011_Loire","31V",47.26246667,-1.42225
"26","2011_Loire","33V",47.27776666,-1.90511666
"27","2011_Loire","38R",47.24713333,-1.43838333
"28","2011_Loire","40R",47.27866667,-1.89916667
"29","2011_Loire","46R",47.26436667,-1.42156667
"30","2011_Loire","50R",47.20571667,-1.7579
"31","2011_Loire","71V",47.3278,-1.32295
"32","2011_Loire","72R",47.3278,-1.3257
"33","2011_Loire","74R",47.32935,-1.32191667
"34","2011_Loire","85V",47.34021667,-1.29455
"35","2011_Loire","90R",47.34115,-1.2926
"36","2011_Loire","99V",47.34226667,-1.25106667
"37","2011_Loire","114R",47.34346667,-1.2504
"38","2011_Loire","StationGIP_Pellerin",47.203825,-1.75758889
"39","2011_Loire","Tribord_Basse_Nazaire",47.27075,-2.19381667
"40","2011_Warnow","W1",53.876562,12.026788
"41","2011_Warnow","W2",53.907762,12.097327
"42","2011_Warnow","W3",54.060699,12.176556
"43","2011_Warnow","W4",54.064165,12.170736
"44","2011_Warnow","W5",54.087401,12.152663
"45","2011_Warnow","W6",54.088916,12.153292
"46","2011_Warnow","W7",54.179375,12.092659
"47","2011_Warnow","W8",54.179721,12.094696
"48","2013_Maas","ak-1",50.614739,5.579158
"49","2013_Maas","ak-3",50.62285,5.580676
"50","2013_Maas","ak-4",50.637293,5.580214
"51","2013_Maas","ak-5",50.627465,5.573548
"52","2013_Maas","ak-6",50.633529,5.576963
"53","2013_Maas","ak-7",50.636918,5.585103
"54","2013_Maas","ak-8",50.648447,5.603056
"55","2013_Maas","ak-9",50.650369,5.611382
"56","2013_Maas","ak-10",50.654402,5.622823
"57","2013_Maas","ak-11",50.65697,5.626992
"58","2013_Maas","ak-12",50.657856,5.644622
"59","2013_Maas","ak-14",50.714109,5.672638
"60","2013_Maas","ma-1",50.863936,5.699716
"61","2013_Maas","ma-2",50.865472,5.697744
"62","2013_Maas","ma-3",50.959753,5.742085
"63","2013_Maas","ma-4",50.878418,5.677845
"64","2013_Maas","ma-5",50.882698,5.706716
"65","2013_Maas","ma-6",51.637577,5.996046
"66","2013_Maas","ma-7",51.637311,5.993471
"67","2013_Maas","ma-8",51.636119,5.992666
"68","2013_Maas","ma-9",51.637191,5.993428
"69","2014_Frome","F1",50.681696,-2.21012
"70","2014_Frome","F2",50.681468,-2.208596
"71","2014_Frome","F3",50.681611,-2.208389
"72","2014_Frome","F4",50.681569,-2.207811
"73","2014_Frome","F5",50.681025,-2.205823
"74","2014_Frome","F6",50.680533,-2.190656
"75","2014_Frome","F7",50.683685,-2.108733
"76","2014_Frome","F8",50.690398,-2.084783
"77","2014_Nene","Nene1",52.501359,-0.457504
"78","2014_Nene","Nene2",52.5181,-0.462327
"79","2014_Nene","Nene3",52.520948,-0.459427
"80","2014_Nene","Nene4",52.516491,-0.458905
"81","2014_Nene","Nene5",52.516092,-0.421161
"82","2014_Nene","Nene6",52.512671,-0.422816
"83","2014_Nene","Nene7",52.516966,-0.41662
"84","2014_Nene","Nene8",52.532269,-0.405248
"85","2014_Nene","Nene9",52.532899,-0.404621
"86","2014_Nene","Nene10",52.562164,-0.416704
"87","2014_Nene","Nene11",52.559161,-0.414673
"88","2014_Nene","Nene12",52.562893,-0.416073
"89","2014_Nene","Nene13",52.571406,-0.415309
"90","2014_Nene","Nene14",52.579398,-0.414593
"91","2014_Nene","Nene15",52.582893,-0.408341
"92","2014_Nene","Nene16",52.582893,-0.408341
"93","2014_Nene","Nene17",52.56297,-0.364242
"94","2014_Nene","Nene18",52.563276,-0.363611
"95","2014_Nene","Nene19",52.558471,-0.341352
"96","2014_Nene","Nene20",52.553619,-0.337051
"97","2014_Nene","Nene21",52.553625,-0.336224
"98","2014_Nene","Nene22",52.552793,-0.33397
"99","2014_Nene","Nene23",52.553031,-0.33489
"100","2014_Nene","Nene24",52.552154,-0.332637
"101","2014_Nene","Nene25",52.56006,-0.282503
"102","2014_Nene","Nene26",52.560515,-0.281025
"103","2014_Nene","Nene27",52.576516,-0.125599
"104","2014_Nene","Nene28",52.576795,-0.123919
"105","2014_Nene","Nene29",52.611081,0.066577
"106","2014_Nene","Nene30",52.807336,0.213339
